data;casos_suspeitos;casos_confirmados_total;casos_confirmados_novos;casos_curados_total;casos_curados_novos;casos_descartados_total;casos_descartados_novos;mortes_total;mortes_novos;mortes_100milHab;casos_ativos;dif_casos_ativos;casos_ativos_100milHab;exames_realizados_total;testes_realizados_novos;mes;num_mes;ano;num_report;report_time;cidade;uf
28/03/2020;19;18;0;0;0;87;1;0;0;0;18;0;8,181818182;105;1;março;3;2020;22;11:00;Itajaí;SC
28/03/2020;17;18;0;0;0;89;2;0;0;0;18;0;8,181818182;107;2;março;3;2020;23;19:00;Itajaí;SC
29/03/2020;17;18;0;0;0;89;0;0;0;0;18;0;8,181818182;107;0;março;3;2020;24;10:00;Itajaí;SC
29/03/2020;17;18;0;0;0;89;0;0;0;0;18;0;8,181818182;107;0;março;3;2020;25;20:30;Itajaí;SC
30/03/2020;11;18;0;0;0;95;6;0;0;0;18;0;8,181818182;113;6;março;3;2020;26;09:00;Itajaí;SC
30/03/2020;9;18;0;0;0;97;2;0;0;0;18;0;8,181818182;115;2;março;3;2020;27;19:00;Itajaí;SC
31/03/2020;12;18;0;0;0;97;0;0;0;0;18;0;8,181818182;115;0;março;3;2020;28;09:00;Itajaí;SC
31/03/2020;33;18;0;0;0;97;0;0;0;0;18;0;8,181818182;115;0;março;3;2020;29;19:00;Itajaí;SC
01/04/2020;33;18;0;0;0;97;0;0;0;0;18;0;8,181818182;115;0;abril;4;2020;30;09:00;Itajaí;SC
01/04/2020;55;18;0;0;0;97;0;0;0;0;18;0;8,181818182;115;0;abril;4;2020;31;19:00;Itajaí;SC
02/04/2020;55;19;1;0;0;97;0;0;0;0;19;1;8,636363636;116;1;abril;4;2020;32;10:00;Itajaí;SC
02/04/2020;56;19;0;0;0;101;4;0;0;0;19;0;8,636363636;120;4;abril;4;2020;33;19:00;Itajaí;SC
03/04/2020;55;20;1;0;0;101;0;0;0;0;20;1;9,090909091;121;1;abril;4;2020;34;09:00;Itajaí;SC
03/04/2020;69;21;1;12;12;118;17;0;0;0;9;-11;4,090909091;139;18;abril;4;2020;35;19:00;Itajaí;SC
04/04/2020;68;22;1;12;0;118;0;1;1;0,454545455;9;0;4,090909091;140;1;abril;4;2020;36;12:00;Itajaí;SC
04/04/2020;51;23;1;12;0;135;17;1;0;0,454545455;10;1;4,545454545;158;18;abril;4;2020;37;19:00;Itajaí;SC
05/04/2020;43;24;1;12;0;143;8;1;0;0,454545455;11;1;5;167;9;abril;4;2020;38;12:00;Itajaí;SC
05/04/2020;28;26;2;12;0;158;15;1;0;0,454545455;13;2;5,909090909;184;17;abril;4;2020;39;19:30;Itajaí;SC
06/04/2020;11;26;0;12;0;175;17;1;0;0,454545455;13;0;5,909090909;201;17;abril;4;2020;40;10:00;Itajaí;SC
06/04/2020;12;26;0;12;0;180;5;1;0;0,454545455;13;0;5,909090909;206;5;abril;4;2020;41;19:00;Itajaí;SC
